Timestamp,What is your primary major? (use the 4 character code),What cohort are you in by credit?,Are you currently searching for a job?,How many job applications have you sent in the past 3 months?,Have you previously had an internship and/or a co-op?,How many internships/co-ops have you participated in?,"If you are employed, are you currently employed at a job relevant to your degree(s)?",How much pressure have you felt from others while looking for a job?,"Which of the following groups have you experienced the most pressure from, if any?",How confident do you feel about securing a job after graduation?,How confident were you when you began your undergraduate degree?,How urgent is your job search currently?,How much stress have you felt around job hunting recently?,How much do you regret choosing your major while looking for a job?,How prepared do you feel to enter the workforce? ,Which of the following on-campus resources have you used to aid your job hunt?,"If you have used them, how useful have on-campus resources been to you?",Which of the following online resources have you used for job hunting?,Which part of your application process has been the most difficult?,Which part of your application process has been the most exhausting?
11/30/2021 15:30:14,GSAS,Senior,Yes,0,Yes,1,Yes,2,"Family, Self",5,3,3,2,1,4,None,2,"Handshake, Indeed, LinkedIn, Company websites","Finding openings, Cover letters, Interviews","Portfolio development, Cover letters, Networking, Interviews"
11/30/2021 10:03:13,Isye,Senior,Yes,5,No,0,No,4,"Family, Self",2,4,4,3,5,3,"CCPD, Major advisor, Career fair",2,"Handshake, Indeed, LinkedIn, Company websites, Social media","Finding openings, Networking, Rejection",Finding viable openings
11/29/2021 10:06:25,ITWS,Junior,Yes,4,Yes,1,No,4,Peers,3,2,2,2,1,3,Career fair,3,Handshake,Networking,Finding viable openings
11/30/2021 21:29:03,ITWS,Senior,No,0,Yes,1,,2,Self,4,5,1,1,1,3,"CCPD, Student clubs/organizations",1,"Handshake, Indeed","Finding openings, Resume writing, Networking, Rejection","Finding viable openings, Cover letters, Networking, Rejection"
11/30/2021 21:41:52,ITWS,Graduate,No,0,Yes,4,Yes,3,Self,5,2,1,1,1,5,CCPD,4,"Handshake, LinkedIn, Social media",None,None
11/30/2021 22:18:24,ITWS,Senior,No,10,Yes,1,,3,"Peers, Self",5,3,1,3,1,4,"CCPD, Student clubs/organizations, Career fair",4,"Handshake, Company websites, ripplematch","Resume writing, Networking","Finding viable openings, Networking"
11/30/2021 22:30:40,ITWS,Senior,No,0,Yes,1,Yes,4,"Family, Friends, Peers, Self",5,4,1,2,1,4,"Major advisor, Student clubs/organizations, Career fair",3,"Indeed, LinkedIn, Company websites","Resume writing, Portfolio development, Cover letters","Finding viable openings, Cover letters"
12/1/2021 20:09:33,Itws,Senior,No,1,Yes,3,Yes,3,"Family, Self",2,4,1,1,1,2,"Career fair, Company events ",3,"LinkedIn, Company websites","Finding openings, Cover letters, Networking, Rejection",Rejection
11/29/2021 21:07:01,MANE,Graduate,Yes,2,Yes,2,,4,"Family, Self",4,5,3,4,1,3,None,,"Indeed, LinkedIn, Company websites","Finding openings, Cover letters, Networking, Rejection",Finding viable openings
11/30/2021 21:34:40,MANE,Senior,No,0,Yes,1,,4,"Family, Peers, Self",3,3,3,4,1,3,None,,"Handshake, LinkedIn",Networking,Portfolio development
11/30/2021 15:07:21,MATH,Alumni,Yes,20,No,0,,5,Family,2,3,5,5,4,1,CCPD,3,"Handshake, Indeed, LinkedIn","Finding openings, Cover letters, Networking, Rejection","Finding viable openings, Networking, Rejection"
11/30/2021 21:34:59,MCLE,Freshman,Yes,6,No,0,No,2,Self,5,5,2,2,1,5,Career fair,2,"Indeed, LinkedIn",Rejection,Networking
11/30/2021 10:03:17,MECL,Senior,Yes,3,Yes,1,,5,"Peers, Self",3,2,4,5,4,3,None,,"Handshake, Indeed, LinkedIn","Finding openings, Cover letters, Networking, Rejection","Finding viable openings, Cover letters"
11/29/2021 12:16:41,NUCE,Senior,No,0,Yes,2,Yes,1,Self,5,5,1,1,1,5,Navy ROTC (also helped me get my internships),1,None,None,None
11/29/2021 14:13:02,PHYS,Alumni,No,0,Yes,1,Yes,1,Self,4,5,1,1,1,3,Major advisor,1,Company websites,Networking,Networking
11/29/2021 16:46:47,PHYS,Alumni,No,20,Yes,1,Yes,3,Self,5,5,3,4,1,4,CCPD,5,"Handshake, Indeed, LinkedIn, Company websites","Finding openings, Resume writing, Cover letters, Rejection","Finding viable openings, Rejection"
12/2/2021 11:32:53,PSYC,Senior,Yes,7,No,0,,3,Self,2,4,4,4,4,2,CCPD,2,"Handshake, Indeed","Resume writing, Cover letters, Rejection",Finding viable openings
